,player_api_id,player_name,height,weight,count_plays,overall_rating,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
31,170323.0,Thibaut Courtois,198.12,194,198.0,76.69,74.15,80.0,62.92,75.62,80.15
733,27445.0,Robert Vittek,187.96,185,1.0,76.6,9.8,16.2,43.6,18.0,18.8
534,30720.0,Dida,195.58,187,32.0,76.6,77.7,75.8,67.2,83.0,74.7
192,171981.0,Felipe,190.5,190,12.0,76.55,78.64,71.64,65.0,75.55,80.73
752,39351.0,Doni,193.04,201,53.0,76.5,76.3,74.5,68.2,75.9,80.4
357,33439.0,Vladimir Stojkovic,193.04,207,9.0,76.5,77.5,74.5,77.0,76.0,84.0
224,30703.0,Timo Hildebrand,185.42,176,79.0,76.45,75.73,76.55,69.18,75.64,77.45
106,37868.0,Simon Mignolet,193.04,192,222.0,76.44,78.81,75.06,70.56,72.19,80.12
184,32562.0,Craig Gordon,193.04,183,122.0,76.21,77.64,73.5,73.14,75.64,80.29
203,33845.0,Miguel Angel Moya,187.96,181,146.0,76.2,80.0,72.67,79.33,74.93,79.2
565,35644.0,Antonio Mirante,193.04,174,244.0,76.17,77.83,77.58,67.75,74.0,78.17
383,49586.0,Ralf Faehrmann,195.58,209,110.0,76.14,78.43,73.71,66.43,74.14,81.43
767,30622.0,Paul Robinson,193.04,198,140.0,76.14,78.64,73.64,82.79,73.64,77.43
114,36286.0,David James,193.04,209,61.0,76.12,80.12,71.75,75.62,72.0,78.62
557,26343.0,Jeremie Janot,175.26,165,102.0,76.1,76.0,74.6,66.9,77.7,78.0
143,27284.0,Michael Rensing,190.5,205,80.0,76.07,77.43,71.93,69.64,71.43,83.57
443,39425.0,Alberto Fontana,185.42,161,4.0,76.0,73.5,78.5,73.5,75.0,76.5
541,26523.0,Nicolas Douchez,185.42,179,121.0,76.0,76.73,77.18,69.27,74.55,78.55
467,50065.0,David Ospina,182.88,174,211.0,75.92,79.92,73.15,76.54,73.92,81.54
293,41618.0,Yann Sommer,182.88,174,208.0,75.91,76.95,73.68,68.55,73.05,80.82
265,37623.0,Roberto,193.04,190,113.0,75.88,77.29,70.71,73.29,75.06,81.06
400,39477.0,Stefano Sorrentino,185.42,190,247.0,75.87,76.6,74.67,69.0,76.67,79.87
291,39584.0,Stipe Pletikosa,193.04,183,2.0,75.82,76.18,74.91,75.64,78.36,76.0
